,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
31,bfg,The BFG,38,buenavista,2016-07-01,94.0,3357.0,18775350.0,3392.0,140000000,55436675,147586675,92150000,Adventure,117.0,['Steven Spielberg'],,['John Williams'],0,,-84563325,7586675
32,purge3,The Purge: Election Year,25,universal,2016-07-01,49.0,2796.0,31515110.0,2821.0,10000000,79042440,116642440,37600000,Thriller,105.0,,,,0,,69042440,106642440
33,freestateofjones,Free State of Jones,71,stx,2016-06-24,35.0,2815.0,7572206.0,2815.0,50000000,20810036,21981309,1171273,Action Drama,139.0,['Gary Ross'],,,0,,-29189964,-28018691
34,id42,Independence Day: Resurgence,18,fox,2016-06-24,84.0,4130.0,41039944.0,4130.0,165000000,103144286,387644286,284500000,Sci-Fi Adventure,120.0,['Roland Emmerich'],,,0,,-61855714,222644286
35,theshallows,The Shallows,40,sony,2016-06-24,94.0,2962.0,16800868.0,2962.0,13000000,55121623,118482550,63360927,Horror,85.0,['Jaume Collet-Serra'],,,0,,42121623,105482550
36,theneondemon,The Neon Demon,152,broadgreen,2016-06-24,42.0,783.0,589014.0,783.0,7500000,1333124,2374225,1041101,Horror Thriller,117.0,['Nicolas Winding Refn'],,,0,,-6166876,-5125775
37,centralintelligence,Central Intelligence,14,wb-newline,2016-06-17,77.0,3508.0,35535250.0,3508.0,50000000,127440871,215140871,87700000,Comedy,107.0,['Rawson Marshall Thurber'],['Scott Stuber'],,0,,77440871,165140871
38,pixar2015,Finding Dory,1,buenavista,2016-06-17,108.0,4305.0,135060273.0,4305.0,200000000,484405113,985205113,500800000,Animation,103.0,,,['Thomas Newman'],0,,284405113,785205113
39,nowyouseeme2,Now You See Me 2,31,lionsgatesummit,2016-06-10,77.0,3232.0,22383146.0,3232.0,90000000,65075540,328675540,263600000,Thriller,129.0,['Jon Chu'],,['Brian Tyler'],0,,-24924460,238675540
40,warcraft,Warcraft,44,universal,2016-06-10,49.0,3400.0,24166110.0,3406.0,160000000,47225655,433125655,385900000,Fantasy,123.0,['Duncan Jones'],,,0,,-112774345,273125655
41,mebeforeyou,Me Before You,37,wb-newline,2016-06-03,77.0,2704.0,18723269.0,2762.0,20000000,56245075,205445075,149200000,Romance,110.0,,,,0,,36245075,185445075
42,tmnt2016,Teenage Mutant Ninja Turtles: Out of the Shadows,24,paramount,2016-06-03,98.0,4071.0,35316382.0,4071.0,135000000,82051601,244451601,162400000,Action / Adventure,112.0,['Dave Green'],,['Steve Jablonsky'],0,,-52948399,109451601
43,timetochoose,Time to Choose,371,abramorama,2016-06-03,10.0,6.0,12233.0,9.0,3500000,29233,29233,0,Documentary,96.0,['Charles Ferguson'],,,0,,-3470767,-3470767
44,topsecretuntitledlonelyislandmovie,Popstar: Never Stop Never Stopping,96,universal,2016-06-03,21.0,2311.0,4698715.0,2313.0,20000000,9496130,9537120,40990,Comedy,86.0,,,,0,,-10503870,-10462880
45,x-men2016,X-Men: Apocalypse,11,fox,2016-05-27,63.0,4150.0,65769562.0,4153.0,178000000,155442489,542742489,387300000,Action / Adventure,143.0,['Bryan Singer'],,,0,,-22557511,364742489
46,alice2,Alice Through the Looking Glass,26,buenavista,2016-05-27,98.0,3763.0,26858726.0,3763.0,170000000,77042381,277442381,200400000,Family Adventure,112.0,['James Bobin'],,['Danny Elfman'],0,,-92957619,107442381
47,universalcomedy2016,Neighbors 2: Sorority Rising,39,universal,2016-05-20,56.0,3384.0,21760405.0,3416.0,35000000,55340730,104444374,49103644,Comedy,91.0,['Nick Stoller'],,,0,,20340730,69444374
48,niceguys,The Nice Guys,53,warnerbros,2016-05-20,77.0,2865.0,11203270.0,2865.0,50000000,36261763,57261763,21000000,Comedy Thriller,116.0,['Shane Black'],,,0,,-13738237,7261763
