,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL,D_Profit,W_Profit
405,300sequel,300: Rise of An Empire,29,warnerbros,2014-03-07,84.0,3470.0,45038460.0,3490.0,110000000,106580051,330780051,224200000,Period Action,102.0,['Noam Murro'],,['Junkie XL'],0,,-3419949,220780051
406,faceoflove,The Face of Love,272,ifc,2014-03-07,,3.0,24660.0,42.0,4000000,385069,1158877,773808,Drama,92.0,,,,0,,-3614931,-2841123
407,lunchbox,The Lunchbox,150,sonyclassics,2014-02-28,203.0,3.0,44542.0,165.0,1700000,4231500,12231500,8000000,Foreign,104.0,,,,0,,2531500,10531500
408,sonofgod,Son of God,53,fox,2014-02-28,98.0,3260.0,25601865.0,3271.0,22000000,59700064,70949793,11249729,Drama,138.0,['Christopher Spencer'],['Mark Burnett'],,0,,37700064,48949793
409,nonstop,Non-Stop,34,universal,2014-02-28,,3090.0,28875635.0,3183.0,50000000,91742160,212742160,121000000,Thriller,110.0,['Jaume Collet-Serra'],,['John Ottman'],0,,41742160,162742160
410,threedaystokill,3 Days to Kill,92,relativity,2014-02-21,84.0,2872.0,12242218.0,2872.0,28000000,30697999,38959900,8261901,Action Thriller,117.0,['McG'],,,0,,2697999,10959900
411,pompeii,Pompeii,104,tristar,2014-02-21,59.0,2658.0,10340823.0,2658.0,80000000,23169033,108469033,85300000,Action Drama,102.0,['Paul W.S. Anderson'],,['Clinton Shorter'],0,,-56830967,28469033
412,aboutlastnight14,About Last Night (2014),68,screengems,2014-02-14,73.0,2253.0,25649011.0,2253.0,13000000,48637684,50445860,1808176,Romantic Comedy,100.0,['Steve Pink'],,['Marcus Miller'],0,,35637684,37445860
413,winterstale,Winter's Tale,126,warnerbros,2014-02-14,49.0,2965.0,7297694.0,2965.0,60000000,12600231,22468620,9868389,Fantasy,129.0,['Akiva Goldsman'],,,0,,-47399769,-37531380
414,endlesslove14,Endless Love (2014),103,universal,2014-02-14,35.0,2896.0,13307125.0,2896.0,20000000,23438250,34614964,11176714,Romance,103.0,['Shana Feste'],,['Christophe Beck'],0,,3438250,14614964
415,robocop2013,RoboCop (2014),56,sony,2014-02-12,96.0,3372.0,21681430.0,3372.0,120000000,58607007,242981799,184374792,Sci-Fi Action,108.0,['Jose Padilha'],,,0,,-61392993,122981799
416,monumentsmen,The Monuments Men,45,sony,2014-02-07,101.0,3083.0,22003433.0,3083.0,70000000,78031620,158702748,80671128,Action Drama,110.0,['George Clooney'],,['Alexandre Desplat'],0,,8031620,88702748
417,interview2014,The Interview (2014),141,sony,2014-12-25,32.0,331.0,1794666.0,581.0,44000000,6105175,12342632,6237457,Comedy,112.0,,['James Weaver'],['Henry Jackman'],0,,-37894825,-31657368
418,areweofficiallydating,That Awkward Moment,99,focus,2014-01-31,63.0,2809.0,8742109.0,2809.0,8000000,26068955,53068955,27000000,Romantic Comedy,94.0,['Tom Gormican'],,,0,,18068955,45068955
419,laborday,Labor Day,124,paramount,2014-01-31,49.0,2584.0,5175282.0,2584.0,18000000,13371528,14189810,818282,Drama,111.0,['Jason Reitman'],,['Rolfe Kent'],0,,-4628472,-3810190
420,ifrankenstein,"I, Frankenstein",108,lionsgate,2014-01-24,56.0,2753.0,8610441.0,2753.0,65000000,19075290,74575290,55500000,Action Horror,92.0,['Stuart Beattie'],,,0,,-45924710,9575290
421,devilsdue,Devil's Due,116,fox,2014-01-17,63.0,2544.0,8308220.0,2544.0,7000000,15821461,36146087,20324626,Horror,89.0,,['John Davis'],,0,,8821461,29146087
422,jackryan,Jack Ryan: Shadow Recruit,65,paramount,2014-01-17,77.0,3387.0,15451981.0,3387.0,60000000,50577412,131377412,80800000,Action Thriller,100.0,['Kenneth Branagh'],,['Patrick Doyle'],0,,-9422588,71377412
423,nutjob,The Nut Job,51,openroads,2014-01-17,112.0,3427.0,19423000.0,3472.0,30000000,64251538,122529966,58278428,Animation,86.0,['Peter Lepeniotis'],['Graham Moloy'],['Paul Intson'],0,,34251538,92529966
424,midasbox,The Adventurer: The Curse of the Midas Box,624,filmarcade,2014-01-10,7.0,82.0,4756.0,82.0,25000000,0,0,0,Family Adventure,98.0,,,,0,,-25000000,-25000000
425,paranormalactivity5,Paranormal Activity: The Marked Ones,88,paramount,2014-01-03,49.0,2867.0,18343611.0,2883.0,5000000,32462372,86362372,53900000,Horror,84.0,,,,0,,27462372,81362372
426,augustosagecounty,August: Osage County,79,weinsteincompany,2013-12-27,133.0,5.0,179302.0,2411.0,25000000,37738810,50738810,13000000,Comedy / Drama,130.0,['John Wells'],,,1,/oscar/movies/?id=augustosagecounty.htm,12738810,25738810
427,lonesurvivor,Lone Survivor,24,universal,2013-12-25,107.0,2.0,90872.0,3285.0,40000000,125095601,149804632,24709031,Action Drama,121.0,['Peter Berg'],,,1,/oscar/movies/?id=lonesurvivor.htm,85095601,109804632
428,wolfofwallstreet,The Wolf of Wall Street,28,paramount,2013-12-25,100.0,2537.0,18361578.0,2557.0,100000000,116900694,391976723,275076029,Drama,180.0,['Martin Scorsese'],,['Howard Shore'],1,/oscar/movies/?id=wolfofwallstreet.htm,16900694,291976723
429,47ronin,47 Ronin,78,universal,2013-12-25,44.0,2689.0,9910310.0,2690.0,175000000,38362475,151659062,113296587,Action Drama,127.0,['Carl Rinsch'],,['Ilan Eshkeri'],0,,-136637525,-23340938
430,waltermitty,The Secret Life of Walter Mitty,60,fox,2013-12-25,107.0,2909.0,12765508.0,2922.0,91000000,58236838,188536838,130300000,Comedy,114.0,['Ben Stiller'],,['Theodore Shapiro'],0,,-32763162,97536838
431,walkingwithdinosaurs,Walking with Dinosaurs,82,fox,2013-12-20,112.0,3231.0,7091938.0,3243.0,80000000,36076121,130580730,94504609,Family Adventure,87.0,,,,0,,-43923879,50580730
432,madeachristmas,Tyler Perry's A Madea Christmas,67,lionsgate,2013-12-13,63.0,2194.0,16007634.0,2194.0,25000000,52543354,52543354,0,Comedy,105.0,['Tyler Perry'],['Tyler Perry'],['Christopher Young'],0,,27543354,27543354
433,hobbit2,The Hobbit: The Desolation of Smaug,8,wb-newline,2013-12-13,126.0,3903.0,73645197.0,3928.0,250000000,258366855,960366855,702000000,Fantasy,161.0,['Peter Jackson'],,['Howard Shore'],1,/oscar/movies/?id=hobbit2.htm,8366855,710366855
434,davido2013,American Hustle,17,sony,2013-12-13,115.0,6.0,740455.0,2629.0,40000000,150117807,257878294,107760487,Drama,138.0,['David O. Russell'],,['Danny Elfman'],1,/oscar/movies/?id=davido2013.htm,110117807,217878294
435,savingmrbanks,Saving Mr. Banks,43,buenavista,2013-12-13,126.0,15.0,413373.0,2671.0,35000000,83299761,114962525,31662764,Drama,120.0,['John Lee Hancock'],,['Thomas Newman'],1,/oscar/movies/?id=savingmrbanks.htm,48299761,79962525
436,khumba,Khumba,680,millenniumentertainment,2013-12-06,3.0,2.0,1029.0,2.0,15000000,0,20898221,20898221,Animation,84.0,,,,0,,-15000000,5898221
437,insidellewyndavis,Inside Llewyn Davis,127,cbsfilms,2013-12-06,98.0,4.0,405411.0,729.0,11000000,13248209,32943247,19695038,Comedy / Drama,105.0,,,,1,/oscar/movies/?id=insidellewyndavis.htm,2248209,21943247
438,lastdaysonmars,The Last Days on Mars,479,magnolia,2013-12-06,42.0,3.0,4608.0,13.0,10600000,24084,261364,237280,Sci-Fi Thriller,98.0,,,,0,,-10575916,-10338636
439,outofthefurnace,Out of the Furnace,129,relativity,2013-12-04,65.0,2101.0,5220288.0,2101.0,22000000,11330849,15434375,4103526,Thriller,106.0,['Scott Cooper'],,,0,,-10669151,-6565625
440,mandela2013,Mandela: Long Walk to Freedom,136,weinsteincompany,2013-11-29,119.0,4.0,84283.0,1010.0,35000000,8323085,27480015,19156930,Drama,139.0,['Justin Chadwick'],,,1,/oscar/movies/?id=mandela2013.htm,-26676915,-7519985
441,blacknativity,Black Nativity,143,foxsearchlight,2013-11-27,51.0,1516.0,3669530.0,1525.0,17500000,7018188,7285135,266947,Musical,92.0,['Kasi Lemmons'],['T.D. Jakes'],,0,,-10481812,-10214865
442,homefront,Homefront,110,openroads,2013-11-27,37.0,2570.0,6915241.0,2570.0,22000000,20158492,51695362,31536870,Action Thriller,110.0,['Gary Fleder'],['Sylvester Stallone'],['Mark Isham'],0,,-1841508,29695362
443,catchingfire,The Hunger Games: Catching Fire,1,lionsgate,2013-11-22,133.0,4163.0,158074286.0,4163.0,130000000,424668047,864868047,440200000,Action / Adventure,146.0,['Francis Lawrence'],['Nina Jacobson'],['James Newton Howard'],0,,294668047,734868047
444,philomena,Philomena,80,weinsteincompany,2013-11-22,182.0,4.0,128435.0,1225.0,12000000,37709979,98963392,61253413,Drama,95.0,['Stephen Frears'],['Steve Coogan'],['Alexandre Desplat'],1,/oscar/movies/?id=philomena.htm,25709979,86963392
445,frozen2013,Frozen,3,buenavista,2013-11-22,238.0,1.0,243390.0,3742.0,150000000,400738009,1274234980,873496971,Animation,108.0,,,['Christophe Beck'],1,/oscar/movies/?id=frozen2013.htm,250738009,1124234980
446,deliveryman,Delivery Man,91,buenavista,2013-11-22,119.0,3036.0,7944977.0,3036.0,22000000,30659817,70536870,39877053,Comedy,105.0,['Ken Scott'],['Scott Mednick'],['Jon Brion'],0,,8659817,48536870
447,nebraska,Nebraska,117,paramount,2013-11-15,126.0,4.0,140401.0,968.0,12000000,17654912,24761360,7106448,Comedy / Drama,110.0,['Alexander Payne'],,,1,/oscar/movies/?id=nebraska.htm,5654912,12761360
448,christmascandle,The Christmas Candle,177,echolight,2013-11-15,49.0,5.0,68655.0,392.0,7000000,1632000,1933829,301829,Drama,100.0,,,,0,,-5368000,-5066171
449,bestman2,The Best Man Holiday,50,universal,2013-11-15,56.0,2024.0,30107555.0,2041.0,17000000,70525195,72835710,2310515,Comedy / Drama,122.0,['Malcolm D. Lee'],['Malcolm D. Lee'],,0,,53525195,55835710
450,bookthief,The Book Thief,108,fox,2013-11-08,154.0,4.0,105005.0,1316.0,19000000,21488481,76086711,54598230,Drama,131.0,,,['John Williams'],1,/oscar/movies/?id=bookthief.htm,2488481,57086711
451,thor2,Thor: The Dark World,12,buenavista,2013-11-08,161.0,3841.0,85737841.0,3841.0,150000000,206362140,644602516,438240376,Action / Adventure,120.0,['Alan Taylor'],,['Brian Tyler'],0,,56362140,494602516
452,dallasbuyersclub,Dallas Buyers Club,95,focus,2013-11-01,182.0,9.0,260865.0,1110.0,5000000,27298285,60611845,33313560,Drama,117.0,['Jean-Marc Vallee'],,,1,/oscar/movies/?id=dallasbuyersclub.htm,22298285,55611845
453,abouttime,About Time,124,universal,2013-11-01,56.0,175.0,1076250.0,1280.0,12000000,15323921,89177486,73853565,Comedy,123.0,['Richard Curtis'],,,0,,3323921,77177486
454,turkeys,Free Birds,63,relativity,2013-11-01,140.0,3736.0,15805237.0,3736.0,55000000,55750480,110387072,54636592,Animation,90.0,['Jimmy Hayward'],['Craig Mazin'],,0,,750480,55387072
455,endersgame,Ender's Game,57,lionsgatesummit,2013-11-01,70.0,3407.0,27017351.0,3407.0,110000000,61737191,89737191,28000000,Sci-Fi,114.0,['Gavin Hood'],,,0,,-48262809,-20262809
456,counselor,The Counselor,121,fox,2013-10-25,84.0,3044.0,7842930.0,3044.0,25000000,16973715,71009334,54035619,Thriller,117.0,['Ridley Scott'],,['Daniel Pemberton'],0,,-8026285,46009334
457,badgrandpa,Jackass Presents: Bad Grandpa,33,paramount,2013-10-25,91.0,3336.0,32055177.0,3345.0,15000000,102003019,160903019,58900000,Comedy,93.0,['Jeff Tremaine'],,,1,/oscar/movies/?id=badgrandpa.htm,87003019,145903019
458,carrie2013,Carrie (2013),83,screengems,2013-10-18,38.0,3157.0,16101552.0,3157.0,30000000,35266619,82409520,47142901,Horror,92.0,['Kimberly Peirce'],,,0,,5266619,52409520
459,twelveyearsaslave,12 Years a Slave,62,foxsearchlight,2013-10-18,203.0,19.0,923715.0,1474.0,20000000,56671993,181025343,124353350,Drama,133.0,['Steve McQueen (II)'],,['Hans Zimmer'],1,/oscar/movies/?id=twelveyearsaslave.htm,36671993,161025343
460,fifthestate,The Fifth Estate,162,buenavista,2013-10-18,49.0,1769.0,1673351.0,1769.0,26000000,3254172,6154172,2900000,Drama,124.0,['Bill Condon'],,['Carter Burwell'],0,,-22745828,-19845828
461,allislost,All Is Lost,146,roadsideattractions,2013-10-18,133.0,6.0,93583.0,483.0,8500000,6263670,10292010,4028340,Drama,100.0,['J.C. Chandor'],,,1,/oscar/movies/?id=allislost.htm,-2236330,1792010
462,tomb,Escape Plan,101,lionsgatesummit,2013-10-18,91.0,2883.0,9885732.0,2883.0,70000000,25135965,103735965,78600000,Action Thriller,116.0,['Mikael Hafstrom'],,['Alex Heffes'],0,,-44864035,33735965
463,machete2,Machete Kills,140,openroads,2013-10-11,35.0,2538.0,3837183.0,2538.0,20000000,8008161,18273009,10264848,Action,107.0,['Robert Rodriguez'],['Robert Rodriguez'],,0,,-11991839,-1726991
464,captainphillips,Captain Phillips,32,sony,2013-10-11,143.0,3020.0,25718314.0,3143.0,55000000,107136417,220648184,113511767,Drama,134.0,['Paul Greengrass'],,['Henry Jackman'],1,/oscar/movies/?id=captainphillips.htm,52136417,165648184
465,escapefromtomorrow,Escape from Tomorrow,301,pda,2013-10-11,42.0,30.0,63297.0,30.0,650000,171962,171962,0,Fantasy Drama,90.0,,,,0,,-478038,-478038
466,graceunplugged,Grace Unplugged,169,roadsideattractions,2013-10-04,63.0,511.0,998145.0,511.0,1700000,2507159,2507159,0,Music Drama,102.0,,,,0,,807159,807159
467,donjon,Don Jon,102,relativity,2013-09-27,105.0,2422.0,8677009.0,2422.0,5500000,24477704,41268579,16790875,Comedy,90.0,['Joseph Gordon-Levitt'],['Ram Bergman'],,0,,18977704,35768579
468,baggageclaim,Baggage Claim,106,foxsearchlight,2013-09-27,84.0,2027.0,9031102.0,2230.0,8500000,21569509,22885836,1316327,Romantic Comedy,96.0,,,['Aaron Zigman'],0,,13069509,14385836
469,cloudy2,Cloudy with a Chance of Meatballs 2,26,sony,2013-09-27,171.0,4001.0,34017930.0,4001.0,78000000,119793567,274392649,154599082,Animation,95.0,,,['Mark Mothersbaugh'],0,,41793567,196392649
470,planetbboy3d,Battle of the Year,134,screengems,2013-09-20,31.0,2008.0,4603177.0,2008.0,20000000,8888355,16723377,7835022,Drama,109.0,['Benson Lee'],,['Christopher Lennertz'],0,,-11111645,-3276623
471,rush2013,Rush (2013),96,universal,2013-09-20,63.0,5.0,187289.0,2308.0,38000000,26947624,98230839,71283215,Action Drama,123.0,['Ron Howard'],,['Hans Zimmer'],0,,-11052376,60230839
472,prisoners,Prisoners,58,warnerbros,2013-09-20,77.0,3260.0,20817053.0,3290.0,46000000,61002302,113402302,52400000,Action Thriller,146.0,['Denis Villeneuve'],,,1,/oscar/movies/?id=prisoners.htm,15002302,67402302
473,enoughsaid,Enough Said,119,foxsearchlight,2013-09-18,121.0,4.0,232800.0,835.0,8000000,17550872,22850872,5300000,Comedy,93.0,['Nicole Holofcener'],,,0,,9550872,14850872
474,insidious2,Insidious Chapter 2,42,filmdistrict,2013-09-13,98.0,3049.0,40272103.0,3155.0,5000000,83586447,161921515,78335068,Horror,105.0,['James Wan'],,['Joseph Bishara'],0,,78586447,156921515
475,plush,Plush,650,imglobalblum,2013-09-13,7.0,10.0,2843.0,10.0,2000000,3080,28864,25784,Drama / Thriller,99.0,['Catherine Hardwicke'],,,0,,-1996920,-1971136
476,riddick,Riddick,76,universal,2013-09-06,56.0,3107.0,19030375.0,3117.0,38000000,42025135,94763758,52738623,Sci-Fi Fantasy,119.0,['David Twohy'],['Vin Diesel'],,0,,4025135,56763758
477,winniemandela,Winnie Mandela,369,imageentertainment,2013-09-06,7.0,32.0,61847.0,32.0,15000000,61847,61847,0,Drama,107.0,,,,0,,-14938153,-14938153
478,onedirection,One Direction: This is Us,93,tristar,2013-08-30,38.0,2735.0,15815497.0,2735.0,10000000,28873374,68541786,39668412,Concert,92.0,['Morgan Spurlock'],,,0,,18873374,58541786
479,drinkingbuddies,Drinking Buddies,259,magnolia,2013-08-23,91.0,2.0,19505.0,33.0,500000,343706,407100,63394,Comedy / Drama,90.0,['Joe Swanberg'],,,0,,-156294,-92900
480,worldsend,The World's End,98,focus,2013-08-23,105.0,1551.0,8811790.0,1553.0,20000000,26004851,47508505,21503654,Comedy,109.0,['Edgar Wright'],,['Steven Price'],0,,6004851,27508505
481,sparrowsdance,Sparrow's Dance,657,tribecafilm,2013-08-23,7.0,,,1.0,175000,2602,2602,0,Drama,81.0,,,,0,,-172398,-172398
482,mortalinstruments,The Mortal Instruments: City of Bones,90,screengems,2013-08-21,47.0,3118.0,9336957.0,3118.0,60000000,31165421,75965567,44800146,Fantasy Drama,120.0,['Harald Zwart'],,['Atli Orvarsson'],0,,-28834579,15965567
483,aintthembodiessaints,Ain't Them Bodies Saints,247,ifc,2013-08-16,,3.0,26419.0,44.0,5000000,391611,740480,348869,Western,90.0,,,,0,,-4608389,-4259520
484,paranoia,Paranoia,141,relativity,2013-08-16,,2459.0,3528376.0,2459.0,40000000,7388654,16173593,8784939,Thriller,115.0,['Robert Luketic'],,['Junkie XL'],0,,-32611346,-23826407
485,butler,Lee Daniels' The Butler,29,weinsteincompany,2013-08-16,182.0,2933.0,24637312.0,3330.0,30000000,116632095,177025498,60393403,Drama,132.0,['Lee Daniels'],,,0,,86632095,147025498
486,underdogs,Underdogs,448,fs,2013-08-16,35.0,4.0,18722.0,4.0,2500000,35017,35017,0,Sports Drama,102.0,,,,0,,-2464983,-2464983
487,elysium,Elysium,38,tristar,2013-08-09,108.0,3284.0,29807393.0,3284.0,120000000,93050117,286192091,193141974,Sci-Fi,109.0,['Neill Blomkamp'],['Simon Kinberg'],,0,,-26949883,166192091
488,werethemillers,We're the Millers,16,wb-newline,2013-08-07,121.0,3260.0,26419396.0,3445.0,37000000,150394119,267816276,117422157,Comedy,110.0,['Rawson Marshall Thurber'],,,0,,113394119,230816276
489,percyjackson2,Percy Jackson: Sea of Monsters,51,fox,2013-08-07,177.0,3031.0,14401054.0,3080.0,90000000,68559554,200859554,132300000,Fantasy,106.0,['Thor Freudenthal'],,['Andrew Lockington'],0,,-21440446,110859554
490,spectacularnow,The Spectacular Now,144,a24,2013-08-02,133.0,4.0,197415.0,770.0,2500000,6852971,6916951,63980,Comedy / Drama,95.0,['James Ponsoldt'],,,0,,4352971,4416951
491,2guns,2 Guns,45,universal,2013-08-02,84.0,3025.0,27059130.0,3028.0,61000000,75612460,132493015,56880555,Action Comedy,109.0,['Baltasar Kormakur'],,['Clinton Shorter'],0,,14612460,71493015
492,canyons,The Canyons,398,ifc,2013-08-02,,1.0,13351.0,9.0,250000,59671,62375,2704,Romantic Thriller,99.0,['Paul Schrader'],,,0,,-190329,-187625
493,smurfs2,The Smurfs 2,49,sony,2013-07-31,110.0,3866.0,17548389.0,3867.0,110000000,71017784,348547523,277529739,Family Comedy,105.0,['Raja Gosnell'],['Jordan Kerner'],['Heitor Pereira'],0,,-38982216,238547523
494,todolist,The To-Do List,158,cbsfilms,2013-07-26,21.0,591.0,1579402.0,591.0,1500000,3491669,4128828,637159,Comedy,100.0,,['Tom Lassally'],,0,,1991669,2628828
495,bluejasmine,Blue Jasmine,86,sonyclassics,2013-07-26,252.0,6.0,612064.0,1283.0,18000000,33404871,102912961,69508090,Comedy,98.0,['Woody Allen'],,,1,/oscar/movies/?id=bluejasmine.htm,15404871,84912961
496,wolverine2,The Wolverine,22,fox,2013-07-26,133.0,3924.0,53113752.0,3924.0,115000000,132556852,416456852,283900000,Action,126.0,['James Mangold'],,['Marco Beltrami'],0,,17556852,301456852
497,onlygodforgives,Only God Forgives,221,radiustwc,2013-07-19,49.0,78.0,313958.0,81.0,4800000,775849,4494560,3718711,Drama,89.0,['Nicolas Winding Refn'],['Ryan Gosling'],['Cliff Martinez'],0,,-4024151,-305440
498,ripd,R.I.P.D.,85,universal,2013-07-19,70.0,2852.0,12691415.0,2852.0,130000000,33618855,79072464,45453609,Action / Adventure,96.0,['Robert Schwentke'],,['Christophe Beck'],0,,-96381145,-50927536
499,actofkilling,Act of Killing,240,drafthousefilms,2013-07-19,245.0,1.0,27450.0,29.0,1000000,486919,501289,14370,Documentary,115.0,,,,1,/oscar/movies/?id=actofkilling.htm,-513081,-498711
500,grownups2,Grown Ups 2,21,sony,2013-07-12,129.0,3491.0,41508572.0,3491.0,80000000,133668525,247023808,113355283,Comedy,101.0,['Dennis Dugan'],,,0,,53668525,167023808
501,pacificrim,Pacific Rim,34,warnerbros,2013-07-12,98.0,3275.0,37285325.0,3285.0,190000000,101802906,411002906,309200000,Sci-Fi Action,131.0,['Guillermo del Toro'],,['Ramin Djawadi'],0,,-88197094,221002906
502,fruitvale,Fruitvale Station,123,weinsteincompany,2013-07-12,112.0,7.0,386291.0,1086.0,900000,16098998,17549645,1450647,Drama,90.0,['Ryan Coogler'],['Forest Whitaker'],['Ludwig Goransson'],0,,15198998,16649645
503,waywayback,"The Way, Way Back",107,foxsearchlight,2013-07-05,,19.0,552788.0,1001.0,5000000,21502690,26853810,5351120,Comedy,103.0,,['Gigi Pritzker'],,0,,16502690,21853810
504,despicableme2,Despicable Me 2,4,universal,2013-07-03,,3997.0,83517315.0,4003.0,76000000,368065385,974873764,606808379,Animation,98.0,,,['Heitor Pereira'],1,/oscar/movies/?id=despicableme2.htm,292065385,898873764
505,kevinhart2013,Kevin Hart: Let Me Explain,87,lionsgatesummit,2013-07-03,51.0,876.0,10030463.0,892.0,2500000,32244051,32327255,83204,Concert,75.0,,['Kevin Hart'],,0,,29744051,29827255
506,loneranger,The Lone Ranger,40,buenavista,2013-07-03,100.0,3904.0,29210849.0,3904.0,275000000,89302115,260002115,170700000,Western,149.0,['Gore Verbinski'],,['Hans Zimmer'],1,/oscar/movies/?id=loneranger.htm,-185697885,-14997885
507,detentionofthedead,Detention of the Dead,669,anchorbayentertainment,2013-06-28,7.0,2.0,1332.0,2.0,500000,1778,1778,0,Horror Comedy,,,,,0,,-498222,-498222
508,bullockmccarthy,The Heat,15,fox,2013-06-28,168.0,3181.0,39115043.0,3184.0,43000000,159581587,229727774,70146187,Comedy,117.0,['Paul Feig'],,,0,,116581587,186727774
509,redemption2013,Redemption (2013),442,roadsideattractions,2013-06-28,14.0,19.0,19977.0,19.0,23000000,36686,13593473,13556787,Action Thriller,100.0,['Steven Knight'],,['Dario Marianelli'],0,,-22963314,-9406527
510,whitehousedown,White House Down,46,sony,2013-06-28,80.0,3222.0,24852258.0,3222.0,150000000,73103784,205440387,132336603,Action Drama,137.0,['Roland Emmerich'],,,0,,-76896216,55440387
511,thisismartinbonner,This is Martin Bonner,534,montereymediainc,2013-06-21,,,,,42000,0,0,0,Drama,83.0,,,,0,,-42000,-42000
512,monstersinc2,Monsters University,7,buenavista,2013-06-21,182.0,4004.0,82429469.0,4004.0,200000000,268488329,743588329,475100000,Animation,107.0,['Dan Scanlon'],,['Randy Newman'],0,,68488329,543588329
513,worldwarz,World War Z,13,paramount,2013-06-21,112.0,3607.0,66411834.0,3607.0,190000000,202359711,531514650,329154939,Action Horror,116.0,['Marc Forster'],,,0,,12359711,341514650
514,superman2012,Man of Steel,5,warnerbros,2013-06-14,98.0,4207.0,116619362.0,4207.0,225000000,291045518,667999518,376954000,Action / Adventure,143.0,['Zack Snyder'],,['Hans Zimmer'],0,,66045518,442999518
515,20feetfromstardom,20 Feet from Stardom,154,radiustwc,2013-06-14,371.0,3.0,54596.0,147.0,1000000,4946250,5892466,946216,Documentary,90.0,,,,1,/oscar/movies/?id=20feetfromstardom.htm,3946250,4892466
516,rogenhilluntitled,This is the End,35,sony,2013-06-12,117.0,3055.0,20719162.0,3055.0,32000000,101470202,126539117,25068915,Comedy,107.0,,,['Henry Jackman'],0,,69470202,94539117
517,internship,The Internship,73,fox,2013-06-07,98.0,3366.0,17325307.0,3399.0,58000000,44672764,93672764,49000000,Comedy,119.0,['Shawn Levy'],,['Christophe Beck'],0,,-13327236,35672764
518,yeijawaanihaideewani,Yeh Jawaani Hai Deewani,157,eros,2013-05-31,52.0,161.0,1568677.0,161.0,8300000,3827466,50827466,47000000,Foreign,125.0,,,,0,,-4472534,42527466
519,1000ae,After Earth,59,sony,2013-05-31,80.0,3401.0,27520040.0,3401.0,130000000,60522097,251499665,190977568,Sci-Fi,100.0,['M. Night Shyamalan'],,['James Newton Howard'],0,,-69477903,121499665
520,beforemidnight,Before Midnight,137,sonyclassics,2013-05-24,168.0,5.0,246914.0,897.0,3000000,8110621,23376973,15266352,Drama,108.0,['Richard Linklater'],,,1,/oscar/movies/?id=beforemidnight.htm,5110621,20376973
521,fast6,Fast & Furious 6,9,universal,2013-05-24,105.0,3658.0,97375245.0,3771.0,160000000,238679850,789952811,551272961,Action,130.0,['Justin Lin'],,,0,,78679850,629952811
522,leafmen,Epic,31,fox,2013-05-24,119.0,3882.0,33531068.0,3894.0,100000000,107518682,262794441,155275759,Animation,102.0,['Chris Wedge'],,['Danny Elfman'],0,,7518682,162794441
523,francisha,Frances Ha,156,ifc,2013-05-17,,4.0,137398.0,233.0,3000000,4067398,11267511,7200113,Comedy / Drama,86.0,['Noah Baumbach'],,,0,,1067398,8267511
524,startrek12,Star Trek Into Darkness,11,paramount,2013-05-16,120.0,3868.0,70165559.0,3907.0,190000000,228778661,467381584,238602923,Sci-Fi Adventure,123.0,['J.J. Abrams'],,['Michael Giacchino'],1,/oscar/movies/?id=startrek12.htm,38778661,277381584
525,greatgatsby2012,The Great Gatsby (2013),18,warnerbros,2013-05-10,105.0,3535.0,50085185.0,3550.0,190000000,144840419,351040419,206200000,Drama,143.0,['Baz Luhrmann'],['Douglas Wick'],,1,/oscar/movies/?id=greatgatsby2012.htm,-45159581,161040419
526,cincodemayo,Cinco De Mayo: La Batalla,300,lionsgate,2013-05-03,21.0,20.0,83586.0,43.0,10000000,173472,173472,0,Foreign,125.0,,,,0,,-9826528,-9826528
527,ironman3,Iron Man 3,2,buenavista,2013-05-03,133.0,4253.0,174144585.0,4253.0,200000000,408992272,1215392272,806400000,Action / Adventure,129.0,['Shane Black'],,['Brian Tyler'],1,/oscar/movies/?id=ironman3.htm,208992272,1015392272
528,painandgain,Pain and Gain,70,paramount,2013-04-26,,3277.0,20244505.0,3303.0,26000000,49875291,81275291,31400000,Action,129.0,['Michael Bay'],,['Steve Jablonsky'],0,,23875291,55275291
529,mud,Mud,105,roadsideattractions,2013-04-26,140.0,363.0,2215891.0,960.0,10000000,21590086,31556959,9966873,Drama,130.0,['Jeff Nichols'],['Aaron Ryder'],,0,,11590086,21556959
530,reluctantfundamentalist,The Reluctant Fundamentalist,235,ifc,2013-04-26,,3.0,30920.0,58.0,15000000,528731,528731,0,Thriller,128.0,['Mira Nair'],,,0,,-14471269,-14471269
531,bigwedding,The Big Wedding,104,lionsgate,2013-04-26,70.0,2633.0,7591663.0,2633.0,32500000,21819348,48425971,26606623,Romantic Comedy,89.0,['Justin Zackham'],['Justin Zackham'],['Nathan Barr'],0,,-10680652,15925971
532,oblivion,Oblivion,41,universal,2013-04-19,70.0,3783.0,37054485.0,3792.0,120000000,89107235,287916633,198809398,Sci-Fi Adventure,125.0,['Joseph Kosinski'],,,0,,-30892765,167916633
533,homerun,Home Run,165,samuelgoldwyn,2013-04-19,56.0,381.0,1582466.0,381.0,1200000,2859955,2859955,0,Sports Drama,113.0,,,,0,,1659955,1659955
