,budgetListIDX,budgetListName,bLnameLength,MvName,mvNameLength,maxFuzzRatioIDX,maxFuzzRatio,maxFuzzSetRatioIDX,maxFuzzSetRatio,budgetListMvReleaseYR,MvReleaseYR
72,72,Meet the Blacks,15,Meet the Blacks,15,97,100,97,100,2016,2016.0
73,73,Everybody Wants Some,20,Everybody Wants Some!!,22,120,95,120,100,2016,2016.0
74,74,Batman v Superman: Dawn of Justice,34,Batman v Superman: Dawn of Justice,34,6,100,6,100,2016,2016.0
75,75,My Big Fat Greek Wedding 2,26,My Big Fat Greek Wedding 2,26,35,100,35,100,2016,2016.0
76,76,Midnight Special,16,Midnight Special,16,119,100,119,100,2016,2016.0
77,77,The Divergent Series: Allegiant,31,The Divergent Series: Allegiant,31,29,100,29,100,2016,2016.0
78,78,Miracles from Heaven,20,Miracles from Heaven,20,34,100,34,100,2016,2016.0
79,79,The Hatching,12,The Haunting,12,9626,83,9626,83,2016,1999.0
80,80,10 Cloverfield Lane,19,10 Cloverfield Lane,19,27,100,27,100,2016,2016.0
81,81,The Brothers Grimsby,20,The Brothers Grimsby,20,101,100,101,100,2016,2016.0
82,82,The Young Messiah,17,The Young Messiah,17,102,100,102,100,2016,2016.0
83,83,Eye in the Sky,14,Eye in the Sky,14,76,100,76,100,2016,2016.0
84,84,Creative Control,16,Creative Control,16,295,100,295,100,2016,2016.0
85,85,The Perfect Match,17,The Perfect Match,17,94,100,94,100,2016,2016.0
86,86,Savva. Serdtse voyna,20,Serving Sara,12,9989,51,8511,58,2016,2002.0
87,87,Whiskey Tango Foxtrot,21,Whiskey Tango Foxtrot,21,68,100,68,100,2016,2016.0
88,88,They Will Have to Kill Us First,31,They Will Have to Kill Us First,31,466,100,466,100,2016,2016.0
89,89,Zootopia,8,Zootopia,8,5,100,5,100,2016,2016.0
90,90,London Has Fallen,17,London Has Fallen,17,33,100,33,100,2016,2016.0
91,91,1982,4,Bambi (Re-issue) (1982),23,13648,75,13924,100,2016,1982.0
92,92,Gods of Egypt,13,Gods of Egypt,13,57,100,57,100,2016,2016.0
93,93,Eddie the Eagle,15,Eddie the Eagle,15,81,100,81,100,2016,2016.0
94,94,Triple 9,8,Triple 9,8,87,100,87,100,2016,2016.0
95,95,Risen,5,Risen,5,51,100,51,100,2016,2016.0
96,96,Forsaken,8,The Forsaken,12,9008,80,9008,100,2016,2001.0
97,97,Mei Ren Yu,10,The Mermaid (Mei ren yu),24,36,61,124,100,2016,2016.0
98,98,The Witch,9,The Witch,9,66,100,66,100,2016,2016.0
99,99,Race,4,Race (2016),11,5155,100,74,100,2016,2016.0
100,100,Deadpool,8,Deadpool,8,4,100,4,100,2016,2016.0
101,101,How to be Single,16,How to Be Single,16,44,94,44,100,2016,2016.0
102,102,Zoolander 2,11,Zoolander 2,11,59,100,59,100,2016,2016.0
103,103,The Little Prince,17,The Little Prince,17,150,100,150,100,2016,2016.0
104,104,Pride and Prejudice and Zombies,31,Pride and Prejudice and Zombies,31,91,100,91,100,2016,2016.0
105,105,Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,44,Da,2,9807,45,12872,100,2016,1988.0
106,106,Misconduct,10,Disconnect,10,2128,70,2128,70,2016,2013.0
107,107,"Hail, Caesar!",13,"Hail, Caesar!",13,58,100,58,100,2016,2016.0
108,108,The Rise of the Krays,21,The Krays,9,11542,79,12369,100,2016,1990.0
109,109,Jane Got a Gun,14,Jane Got a Gun,14,147,100,147,100,2016,2016.0
110,110,Kung Fu Panda 3,15,Kung Fu Panda 3,15,11,100,11,100,2016,2016.0
111,111,Fifty Shades of Black,21,Fifty Shades of Black,21,89,100,89,100,2016,2016.0
112,112,The Finest Hours,16,The Finest Hours,16,60,100,60,100,2016,2016.0
113,113,Monster Hunt,12,Monster Hunt,12,357,100,357,100,2016,2016.0
114,114,The Boy,7,The Boy (2016),14,9186,93,53,100,2016,2016.0
115,115,Dirty Grandpa,13,Dirty Grandpa,13,54,100,54,100,2016,2016.0
116,116,Yip Man 3,9,Ip Man 3,8,131,82,131,94,2016,2016.0
117,117,The 5th Wave,12,The 5th Wave,12,55,100,55,100,2016,2016.0
118,118,Eden,4,Eden,4,942,100,942,100,2016,2015.0
119,119,Sharkskin,9,Shrink,6,4708,67,4708,67,2016,2009.0
120,120,Norm of the North,17,Norm of the North,17,79,100,79,100,2016,2016.0
121,121,Ride Along 2,12,Ride Along 2,12,21,100,21,100,2016,2016.0
122,122,13 Hours: The Secret Soldiers of Benghazi,41,13 Hours: The Secret Soldiers of Benghazi,41,41,100,41,100,2016,2016.0
123,123,The Masked Saint,16,The Masked Saint,16,223,100,223,100,2016,2016.0
124,124,The Forest,10,The Forest,10,63,100,63,100,2016,2016.0
125,125,Adulterers,10,Adult Beginners,15,909,72,909,72,2016,2015.0
126,126,4/11,4,11-11-11,8,905,50,3734,100,2015,2011.0
127,127,Lumea e a mea,13,A La Mala,9,12950,57,685,64,2015,2015.0
128,128,Romantic Schemer,16,Romantic Comedy,15,13810,71,13810,77,2015,1983.0
129,129,Vaalu,5,Tuvalu,6,7065,67,9111,73,2015,2001.0
130,130,Aztec Warrior,13,Warrior,7,7179,75,3417,100,2015,2011.0
131,131,Walking to Paris,16,Paris,5,5404,72,4622,100,2015,2009.0
132,132,In Dubious Battle,17,Battle in Heaven,16,4449,65,6579,72,2015,2006.0
133,133,ГЕРОЙ,5,Finding Dory,12,0,0,0,0,2015,2016.0
134,134,Departure,9,Departures,10,4610,95,4610,95,2015,2009.0
135,135,One Shot,8,Shoot Down,10,10934,75,5337,78,2015,2008.0
136,136,Shooting the Warwicks,21,Shooting Fish,13,10224,65,10224,76,2015,1998.0
137,137,Pourquoi j'ai pas mangé mon père,32,The Measure of a Man,20,6032,45,254,56,2015,2016.0
138,138,Lunchtime Heroes,16,Heroes (2008),13,11065,58,5187,71,2015,2008.0
