,mID,mName,mYrank,mStudio,openWkdate,DURrelease,openDTheatre,openDGross,totalDTheatre,PD_budget,totalDGross,W_gross,F_gross,Genre,mv_runtime,mv_Dir,mv_Prod,mv_Comp,OscarNom,OscarInfoURL
30,tarzan2016,The Legend of Tarzan,15,warnerbros,2016-07-01,77.0,3561.0,38527856.0,3591.0,1534752000.0,1079809395.3104,2976933395.3104,1897124000.0,Action / Adventure,109.0,['David Yates'],,['Rupert Gregson-Williams'],0,
31,bfg,The BFG,38,buenavista,2016-07-01,94.0,3357.0,18775350.0,3392.0,1193696000.0,472675265.71999997,1258383025.72,785707760.0,Adventure,117.0,['Steven Spielberg'],,['John Williams'],0,
32,purge3,The Purge: Election Year,25,universal,2016-07-01,49.0,2796.0,31515110.0,2821.0,85264000.0,673947460.4159999,994540100.416,320592640.0000001,Thriller,105.0,,,,0,
33,freestateofjones,Free State of Jones,71,stx,2016-06-24,35.0,2815.0,7572206.0,2815.0,426320000.0,177434690.9504,187421433.0576,9986742.107199997,Action Drama,139.0,['Gary Ross'],,,0,
34,id42,Independence Day: Resurgence,18,fox,2016-06-24,84.0,4130.0,41039944.0,4130.0,1406856000.0,879449440.1504,3305210240.1503997,2425760799.9999995,Sci-Fi Adventure,120.0,['Roland Emmerich'],,,0,
35,theshallows,The Shallows,40,sony,2016-06-24,94.0,2962.0,16800868.0,2962.0,110843200.0,469989006.3472,1010229614.3199999,540240607.9728,Horror,85.0,['Jaume Collet-Serra'],,,0,
36,theneondemon,The Neon Demon,152,broadgreen,2016-06-24,42.0,783.0,589014.0,783.0,63948000.0,11366748.4736,20243592.04,8876843.566399999,Horror Thriller,117.0,['Nicolas Winding Refn'],,,0,
37,centralintelligence,Central Intelligence,14,wb-newline,2016-06-17,77.0,3508.0,35535250.0,3508.0,426320000.0,1086611842.4944,1834377122.4943998,747765279.9999998,Comedy,107.0,['Rawson Marshall Thurber'],['Scott Stuber'],,0,
38,pixar2015,Finding Dory,1,buenavista,2016-06-17,108.0,4305.0,135060273.0,4305.0,1705280000.0,4130231755.4832,8400252875.4832,4270021120.0,Animation,103.0,,,['Thomas Newman'],0,
39,nowyouseeme2,Now You See Me 2,31,lionsgatesummit,2016-06-10,77.0,3232.0,22383146.0,3232.0,767376000.0,554860084.2559999,2802419124.2559996,2247559039.9999995,Thriller,129.0,['Jon Chu'],,['Brian Tyler'],0,
40,warcraft,Warcraft,44,universal,2016-06-10,49.0,3400.0,24166110.0,3406.0,1364224000.0,402664824.792,3693002584.792,3290337760.0,Fantasy,123.0,['Duncan Jones'],,,0,
41,mebeforeyou,Me Before You,37,wb-newline,2016-06-03,77.0,2704.0,18723269.0,2762.0,170528000.0,479568007.47999996,1751706887.48,1272138880.0,Romance,110.0,,,,0,
42,tmnt2016,Teenage Mutant Ninja Turtles: Out of the Shadows,24,paramount,2016-06-03,98.0,4071.0,35316382.0,4071.0,1151064000.0,699604770.7664,2084292130.7663999,1384687360.0,Action / Adventure,112.0,['Dave Green'],,['Steve Jablonsky'],0,
43,timetochoose,Time to Choose,371,abramorama,2016-06-03,10.0,6.0,12233.0,9.0,29842400.0,249252.2512,249252.2512,0.0,Documentary,96.0,['Charles Ferguson'],,,0,
44,topsecretuntitledlonelyislandmovie,Popstar: Never Stop Never Stopping,96,universal,2016-06-03,21.0,2311.0,4698715.0,2313.0,170528000.0,80967802.83199999,81317299.968,349497.1360000074,Comedy,86.0,,,,0,
45,x-men2016,X-Men: Apocalypse,11,fox,2016-05-27,63.0,4150.0,65769562.0,4153.0,1517699200.0,1325364838.2096,4627639558.2095995,3302274719.9999995,Action / Adventure,143.0,['Bryan Singer'],,,0,
46,alice2,Alice Through the Looking Glass,26,buenavista,2016-05-27,98.0,3763.0,26858726.0,3763.0,1449488000.0,656894157.3584,2365584717.3584,1708690560.0,Family Adventure,112.0,['James Bobin'],,['Danny Elfman'],0,
47,universalcomedy2016,Neighbors 2: Sorority Rising,39,universal,2016-05-20,56.0,3384.0,21760405.0,3416.0,298424000.0,471857200.27199996,890534510.4735999,418677310.20159996,Comedy,91.0,['Nick Stoller'],,,0,
48,niceguys,The Nice Guys,53,warnerbros,2016-05-20,77.0,2865.0,11203270.0,2865.0,426320000.0,309182296.04319996,488236696.0432,179054400.00000006,Comedy Thriller,116.0,['Shane Black'],,,0,
49,angrybirds,The Angry Birds Movie,17,sony,2016-05-20,119.0,3932.0,38155177.0,3932.0,622427200.0,916667858.2623999,2959673454.9488,2043005596.6864002,Animation,97.0,,,,0,
50,moneymonster,Money Monster,50,tristar,2016-05-13,84.0,3104.0,14788157.0,3104.0,230212800.0,349685356.28,796960041.5536,447274685.2736,Drama / Thriller,95.0,['Jodie Foster'],,,0,
51,marvel2016,Captain America: Civil War,2,buenavista,2016-05-06,140.0,4226.0,179139142.0,4226.0,2131600000.0,3479490393.3135996,9819721433.313599,6340231039.999999,Action / Adventure,147.0,,['Kevin Feige'],['Henry Jackman'],0,
52,keanu,Keanu,73,wb-newline,2016-04-29,63.0,2658.0,9453224.0,2681.0,127896000.0,175574375.4192,175728907.89279997,154532.47359997034,Comedy,98.0,,,,0,
53,compadres,Compadres,128,pantelion,2016-04-22,35.0,368.0,1397434.0,368.0,25579200.0,26668643.7072,63479423.1616,36810779.4544,Action,101.0,,,,0,
54,huntsman,The Huntsman: Winter's War,43,universal,2016-04-22,56.0,3791.0,19445035.0,3802.0,980536000.0,409292907.09599996,1403463882.6032,994170975.5072,Action / Adventure,114.0,['Cedric Nicolas-Troyan'],['Joe Roth'],['James Newton Howard'],0,
55,junglebook2015,The Jungle Book (2016),4,buenavista,2016-04-15,168.0,4028.0,103261464.0,4144.0,1492120000.0,3103619175.1471996,8218606535.1472,5114987360.0,Adventure,105.0,['Jon Favreau'],,['John Debney'],0,
56,barbershop3,Barbershop: The Next Cut,41,wb-newline,2016-04-15,91.0,2661.0,20242415.0,2676.0,170528000.0,460681826.84639996,463853673.2256,3171846.3792000413,Comedy,112.0,['Malcolm D. Lee'],,,0,
57,greenroom,Green Room,126,a24,2016-04-15,91.0,3.0,87984.0,777.0,42632000.0,27458171.2944,32464293.5792,5006122.2848000005,Thriller,94.0,['Jeremy Saulnier'],,,0,
